Column Name,Description
Date,"Date on which body mass measurements, tarsus length measurements and blood samples were collected from each nestling"
BirdID,Bird identity - from one metal band (M) and three colour bands with a unique letter code per colour
GRP,Group identity - Pied babblers are cooperatively breeding birds that live in groups
Season,Breeding season - coded using a letter since the inception of the project with the first breeding season where the population was monitored labelled as 'A'
AgeMeasD,"Age in days sine hatching on the day when body mass measurements, tarsus length measurements and blood samples were collected from each nestling"
Sex,Sex detemined from blood samples using molecular sexing techniques
NestID,"Nest identity - code is composed of Group identity (3 letters), the letter ""N"" for nest, a number designating the order of nest where 1 = first nest of the season, and a letter designating the breeding season"
BirdSeas,Composite term - Bird identity + Season
GrpSizeAD,Number of adults (individuals older than one year) in the natal group
#Imm,Number of immature birds (fledged individuals younger than one year) in the natal group
GrpSizeTotal,Total number of birds in the group
TwoMonthsPrior,Date 60 days prior to the start of incubation for the nest in which the nestling hatched
IncDate,Date of initiation of incubation for the nest in which the nestling hatched
HatchDate,Date on which the nestling hatched
FledgeDate,Date on which the nestling fledged; blank if died before fledging
FailDate,Date on which the nest failed if the nestling did not fledge; blank if the nestling fledged
IndepDate,"Date 90 days after hatching, when pied babblers are ore or less fully grown and nutritionally independent"
1YrDate,"Date 365 days after hatching, when pied babblers are considered sexually mature"
2YrDate,Date 730 days after hatching - pied babblers often disperse around this age
BroodSize,Number of nestlings in the brood on the measurement day
NoMales,Number of male nestlings in the brood on the measurement day
BroodSexRatio,Ratio of male to female nestlings in the brood on the measurement day
No.ChicksFledge,Number of nestlings in the brood on the measurement day that survived to fledge
MaleFledge,Number of male nestlings in the brood on the measurement day that survived to fledge
NoSurv,Number of nestlings in the brood on the measurement day that survived to nutritional independence at 90 days
MaleSurv,Number of male nestlings in the brood on the measurement day that survived to nutritional independence at 90 days
Mass,Body mass to 0.1g on the measurement day
LTars,Left tarsus length in cm on the measurement day
RTars,Right tarsus length in cm on the measurement day
RTarsMm,Right tarsus length in mm on the measurement day
DiffTars,Difference between left and right tarsus length in cm on the measurement day
NestFledge,"Whether or not any of the nestlings in the brood fledged where YES=at least one nestling from the brood fledged, NO = the nest failed"
SurvFledge,"Whether or not the nestling survived to fledge where 1 = fledged, 0 = did not fledge"
SurvInd,"Whether or not the nestling survived to 90 days of age where 1 = survived, 0 = did not survive"
SurvMassAtInd,Body mass to 0.1g 90+-15 days after hatching 
MassGainAtInd,Difference between Mass at 90 days and nestling mass
PropChangeMassAtInd,Proportional change in mass between Mass at 90 days and nestling mass
Surv1Yr,"Whether or not the nestling survived to 1 year of age where 1 = survived, 0 = did not survive"
Surv1Mass,Body mass to 0.1g 365 +- 15 days after hatching
1YrNatalGrp,Whether or not the bird still lives in its natal group where 1 = Yes and 0 = No
TMaxMeas,"Maximum ambient air temperature on the measurement day, recorded by an on-site weather station"
Tmaxcat,Whether the Tmax measurement was above (Hot) or below (cool) 35.5 degrees C
MeanTmaxInc,"Average daily maximum ambient air temperature between the start of incubation and hatching, recorded by an on-site weather station"
MeanTmaxBrood,"Average daily maximum ambient air temperature between hatching and fledging, recorded by an on-site weather station"
MeanTmaxNest,"Average daily maximum ambient air temperature between the start of incubation and fledging, recorded by an on-site weather station"
MeanTmaxInd,"Average daily maximum ambient air temperature between fledging and nutritional independence, recorded by an on-site weather station"
TMinMeas,"Minimum ambient air temperature on the measurement day, recorded by an on-site weather station"
MeanTminInc,"Average daily minimum ambient air temperature between the start of incubation and hatching, recorded by an on-site weather station"
MeanTminBrood,"Average daily minimum ambient air temperature between hatching and fledging, recorded by an on-site weather station"
MeanTminNest,"Average daily minimum ambient air temperature between the start of incubation and fledging, recorded by an on-site weather station"
MeanTmin90,"Average daily minimum ambient air temperature between fledging and nutritional independence, recorded by an on-site weather station"
TvarMeas,"Difference between minimum and maximum ambient air temperature on the measurement day, recorded by an on-site weather station"
MeanTvarInc,"Average difference between minimum and maximum ambient air temperature between the start of incubation and hatching, recorded by an on-site weather station"
MeanTvarBrood,"Average difference between minimum and maximum  ambient air temperature between hatching and fledging, recorded by an on-site weather station"
MeanTvarNest,"Averagedifference between minimum and maximum  ambient air temperature between the start of incubation and fledging, recorded by an on-site weather station"
MeanTvar90,"Average difference between minimum and maximum  ambient air temperature between fledging and nutritional independence, recorded by an on-site weather station"
HWaveInc,"Whether or not there was a heat wave (3 consecutive days above 35.5 degrees C) between the start of incubation and hatching,where 1=yes and 0=no"
NoHWInc1,Number of times between the start of incubation and hatching that there were two days in row above 35.5 degrees C
NoHWInc2,Number of discretes heats waves (3 consecutive days above 35.5 degrees C) between the start of incubation and hatching
NoHotDaysInc,Total number hot days (above 35.5 degrees C) between the start of incubation and hatching
PropHotDaysInc,Proportion of hot days (above 35.5 degrees C) between the start of incubation and hatching
HWaveBr,"Whether or not there was a heat wave (3 consecutive days above 35.5 degrees C) between the hatching and fledging,where 1=yes and 0=no"
NoHWBr1,Number of times between hatching and fledging that there were two days in row above 35.5 degrees C
NoHWBr2,Number of discretes heats waves (3 consecutive days above 35.5 degrees C) between hatching and fledging
NoHotDaysBr,Total number hot days (above 35.5 degrees C) between hatching and fledging
PropHotDaysBr,Proportion of hot days (above 35.5 degrees C) between hatching and fledging
HWaveNest,"Whether or not there was a heat wave (3 consecutive days above 35.5 degrees C) between the start of incubation and fledging,where 1=yes and 0=no"
NoHWNest1,Number of times between the start of incubation and fledging that there were two days in row above 35.5 degrees C
NoHWNest2,Number of discretes heats waves (3 consecutive days above 35.5 degrees C) between the start of incubation and fledging
NoHotDaysNest,Total number hot days (above 35.5 degrees C) between the start of incubation and fledging
PropHotDaysNest,Proportion of hot days (above 35.5 degrees C) between the start of incubation and fledging
NoHotDays90,Total number hot days (above 35.5 degrees C) between fledging and nutritional independence
PropHotDays90,Proportion of hot days (above 35.5 degrees C) between fledging and nutritional independence
RainTwoMonthsPrior,Total rainfall in the 60 days prior to the initiation of incubation
Rain90,Total rainfall between fledging and nutritional independence
TotRain,Total rainfall between 60 days prior to the initiation of incubation and nutritional independence
Drought,"Whether or not the season was categorised as a drought (75% of average rainfall over the preceding 30 years), where 1 = drought, 0 = no drought"
